Day,Month,Year,Hour,Minute,Second,Latitude,Longitude,Speed
6,8,2015,14,22,56,28074,48630,91163
23,9,2027,13,16,3,51988,14391,47983
30,9,2015,4,6,43,40058,38293,17746
29,4,2012,23,11,20,93459,10208,26812
12,1,2021,8,48,3,75642,53156,67393
8,3,2016,15,56,11,56110,43439,14459
6,9,2024,3,44,17,31856,27704,81407
7,1,2013,21,35,15,52077,96015,91391
23,3,2015,9,54,31,4455,19871,26057
23,10,2021,15,47,5,74781,18723,94074
2,2,2010,7,6,43,72551,20864,46729
28,9,2022,14,26,42,5695,84749,22707
15,6,2020,8,23,9,54376,20195,18859
15,2,2025,6,14,47,37044,48221,21152
19,8,2030,19,15,20,60388,56306,82541
4,2,2021,15,53,16,89776,95773,11077
19,1,2021,24,47,48,27274,6850,90009
21,5,2019,15,28,33,6856,29707,58957
11,10,2011,7,5,35,45848,80335,20450
10,9,2019,12,30,17,90762,8955,89639
22,12,2016,9,46,54,3736,95654,73331
20,3,2023,7,5,23,91658,21916,50446
21,2,2026,23,27,43,66800,45015,93739
9,4,2029,12,18,13,38158,96346,17235
2,9,2012,13,37,43,36549,19828,54400
11,9,2010,18,16,28,68496,58925,1990
19,5,2012,4,51,37,99469,41026,97727
30,8,2021,20,15,24,21077,95724,37913
10,1,2029,5,34,49,51067,78171,6619
2,1,2020,13,25,25,24162,2128,80686
16,2,2014,4,12,53,61786,24566,52766
13,2,2010,24,46,52,32954,26902,41052
20,6,2018,13,17,26,57738,12215,67042
23,8,2023,15,24,26,6368,65798,10746
23,12,2021,15,45,34,83107,72895,84462
28,8,2018,13,23,15,27031,89999,37362
14,11,2013,4,21,8,15554,73629,45334
12,3,2025,10,58,60,64382,48825,79560
16,6,2012,9,5,23,84269,11834,65483
13,6,2027,15,55,12,87078,29184,74081
24,6,2028,1,23,18,52793,87424,8148
3,4,2017,19,54,31,51472,16867,64730
27,4,2026,14,23,60,18734,64972,24563
4,4,2020,10,51,17,94854,92779,10127
6,8,2023,12,18,21,85913,46056,40325
27,3,2019,10,22,3,43985,31019,43674
